Year,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths
2017,38,89000,0,0
2017,39,1777000,0,0
2017,40,540000,0,0
2017,41,692000,0,0
2017,42,1731000,0,0
2017,44,178000,0,0
2017,45,636000,0,0
2017,46,104000,0,0
2017,47,1005000,0,0
2017,48,3229000,0,0
2017,49,417000,0,0
2017,50,102000,0,0
2017,51,1124000,0,0
2017,53,1049000,0,0
2017,54,305000,0,0
2017,55,807000,0,0
2017,56,83000,0,0
2018,1,217000,0,0
2018,2,1056000,0,0
2018,4,422000,0,0
2018,5,217000,0,0
2018,6,136000,0,0
2018,8,540000,0,0
2018,9,1365000,0,0
2018,10,154000,0,0
2018,11,371000,0,0
2018,12,710000,0,0
2018,13,178000,0,0
2018,15,712000,0,0
2018,16,3229000,0,0
2018,17,920000,0,0
2018,18,1124000,0,0
2018,19,102000,0,0
2018,20,244000,0,0
2018,21,305000,0,0
2018,22,862000,0,0
2018,23,309000,0,0
2018,24,5241000,0,0
2018,25,1106000,0,0
2018,26,735000,0,0
2018,27,392000,0,0
2018,28,663000,0,0
2018,29,678000,0,0
2018,30,636000,0,0
2018,31,1441000,0,0
2018,32,392000,0,0
2018,33,83000,0,0
2018,34,441000,0,0
2018,35,178000,0,0
2018,36,2463000,0,0
2018,37,89000,0,0
2018,38,454000,0,0
2018,39,104000,0,0
2018,40,2684000,0,0
2018,41,807000,0,0
2018,42,806000,0,0
2018,44,102000,0,0
2018,45,1587000,0,0
2018,46,993000,0,0
2018,47,1731000,0,0
2018,48,94000,0,0
2018,49,417000,0,0
2018,50,1005000,0,0
2018,51,1429000,0,0
2018,53,692000,0,0
2018,54,1049000,0,0
2018,55,251000,0,0
2018,56,1777000,0,0
2019,1,680000,0,0
2019,2,105000,0,0
2019,4,902000,0,0
2019,5,468000,0,0
2019,6,5072000,0,0
2019,8,832000,0,0
2019,9,500000,0,0
2019,10,129000,0,0
2019,11,103000,0,0
2019,12,2769000,0,0
2019,13,1341000,0,0
2019,15,165000,0,0
2019,16,262000,0,0
2019,17,1526000,0,0
2019,18,988000,0,0
2019,19,418000,0,0
2019,20,387000,0,0
2019,21,737000,0,0
2019,22,599000,0,0
2019,23,187000,0,0
2019,24,758000,0,0
2019,25,1034000,0,0
2019,26,1320000,0,0
2019,27,759000,0,0
2019,28,385000,0,0
2019,29,828000,0,0
2019,30,164000,0,0
2019,31,258000,0,0
2019,32,404000,0,0
2019,33,204000,0,0
2019,34,1062000,0,0
2019,35,298000,0,0
2019,36,2692000,0,0
2019,37,1440000,0,0
2019,38,97000,0,0
2019,39,1741000,0,0
2019,40,545000,0,0
2019,41,714000,0,0
2019,42,1861000,0,0
2019,44,160000,0,0
2019,45,677000,0,0
2019,46,113000,0,0
2019,47,986000,0,0
2019,48,3196000,0,0
2019,49,464000,0,0
2019,50,104000,0,0
2019,51,1261000,0,0
2019,53,1139000,0,0
2019,54,300000,0,0
2019,55,817000,0,0
2019,56,85000,0,0
2020,1,794000,362015,7189
2020,2,108000,45771,281
2020,4,1030000,520559,8864
2020,5,457000,225138,3676
2020,6,5566000,2231552,25374
2020,8,924000,347279,4814
2020,9,526000,185708,5995
2020,10,149000,57512,1127
2020,11,125000,28983,786
2020,12,2889000,1317326,23306
2020,13,1405000,666452,10934
2020,15,185000,21026,286
2020,16,293000,141077,1436
2020,17,1754000,963389,17978
2020,18,1125000,511698,8236
2020,19,441000,280669,3891
2020,20,420000,222433,2741
2020,21,746000,275018,4861
2020,22,715000,315275,7488
2020,23,223000,25924,347
2020,24,781000,276662,6257
2020,25,1155000,375178,12613
2020,26,1469000,589728,13816
2020,27,819000,415302,5382
2020,28,431000,221928,5646
2020,29,993000,449569,6856
2020,30,163000,81555,961
2020,31,257000,167233,1651
2020,32,474000,224731,3125
2020,33,221000,44028,758
2020,34,1112000,527784,19042
2020,35,300000,142864,2385
2020,36,2802000,548154,12566
2020,37,1469000,547683,7925
2020,38,108000,92770,1309
2020,39,1906000,700380,8962
2020,40,592000,325524,4564
2020,41,731000,113909,1477
2020,42,1814000,648569,15978
2020,44,178000,85399,1778
2020,45,706000,317430,5306
2020,46,112000,99164,1488
2020,47,937000,576157,6810
2020,48,3347000,1756172,31282
2020,49,550000,276612,1269
2020,50,104000,6970,145
2020,51,1115000,354767,5081
2020,53,1269000,244803,3461
2020,54,337000,85334,1338
2020,55,859000,520438,5242
2020,56,88000,44409,438
2021,1,794000,904526,16747
2021,2,113000,151583,947
2021,4,1099000,1381488,24229
2021,5,460000,566486,9148
2021,6,5864000,5477529,75847
2021,8,1014000,955270,10271
2021,9,531000,510188,9160
2021,10,157000,178886,2400
2021,11,129000,94286,1211
2021,12,2903000,4249748,63184
2021,13,1406000,1839879,31443
2021,15,187000,109576,1079
2021,16,311000,319382,4162
2021,17,1858000,2181009,31017
2021,18,1129000,1246854,19037
2021,19,473000,582348,7858
2021,20,442000,519544,7001
2021,21,762000,880163,13063
2021,22,734000,828695,14986
2021,23,238000,154173,1531
2021,24,810000,720888,11875
2021,25,1157000,1140614,20273
2021,26,1571000,1710271,29019
2021,27,876000,1022212,10656
2021,28,446000,543737,10450
2021,29,1056000,1006913,16074
2021,30,171000,197724,2906
2021,31,290000,342939,3341
2021,32,512000,501181,8420
2021,33,243000,198667,1961
2021,34,1122000,1564253,29037
2021,35,338000,350043,5855
2021,36,2972000,1924606,23611
2021,37,1532000,1695105,19828
2021,38,116000,174626,2012
2021,39,2112000,2016095,29447
2021,40,657000,708938,11555
2021,41,783000,421263,5655
2021,42,1963000,2036424,36705
2021,44,187000,222729,3074
2021,45,760000,978154,14675
2021,46,118000,179204,2486
2021,47,1006000,1425369,20880
2021,48,3602000,4576799,74491
2021,49,599000,636992,3787
2021,50,112000,60788,453
2021,51,1199000,1133238,15601
2021,53,1360000,859170,9853
2021,54,347000,328162,5336
2021,55,904000,1120669,11173
2021,56,98000,115638,1526
2017,1,712000,0,0
2017,2,94000,0,0
2017,4,920000,0,0
2017,5,441000,0,0
2017,6,5241000,0,0
2017,8,710000,0,0
2017,9,454000,0,0
2017,10,136000,0,0
2017,11,102000,0,0
2017,12,2463000,0,0
2017,13,1365000,0,0
2017,15,178000,0,0
2017,16,244000,0,0
2017,17,1587000,0,0
2017,18,993000,0,0
2017,19,392000,0,0
2017,20,371000,0,0
2017,21,663000,0,0
2017,22,678000,0,0
2017,23,217000,0,0
2017,24,735000,0,0
2017,25,1056000,0,0
2017,26,1441000,0,0
2017,27,806000,0,0
2017,28,422000,0,0
2017,29,862000,0,0
2017,30,154000,0,0
2017,31,251000,0,0
2017,32,392000,0,0
2017,33,217000,0,0
2017,34,1106000,0,0
2017,35,309000,0,0
2017,36,2684000,0,0
2017,37,1429000,0,0
2017,38,89000,0,0
2017,39,1777000,0,0
2017,40,540000,0,0
2017,41,692000,0,0
2017,42,1731000,0,0
2017,44,178000,0,0
2017,45,636000,0,0
2017,46,104000,0,0
2017,47,1005000,0,0
2017,48,3229000,0,0
2017,49,417000,0,0
2017,50,102000,0,0
2017,51,1124000,0,0
2017,53,1049000,0,0
2017,54,305000,0,0
2017,55,807000,0,0
2017,56,83000,0,0
2018,1,217000,0,0
2018,2,1056000,0,0
2018,4,422000,0,0
2018,5,217000,0,0
2018,6,136000,0,0
2018,8,540000,0,0
2018,9,1365000,0,0
2018,10,154000,0,0
2018,11,371000,0,0
2018,12,710000,0,0
2018,13,178000,0,0
2018,15,712000,0,0
2018,16,3229000,0,0
2018,17,920000,0,0
2018,18,1124000,0,0
2018,19,102000,0,0
2018,20,244000,0,0
2018,21,305000,0,0
2018,22,862000,0,0
2018,23,309000,0,0
2018,24,5241000,0,0
2018,25,1106000,0,0
2018,26,735000,0,0
2018,27,392000,0,0
2018,28,663000,0,0
2018,29,678000,0,0
2018,30,636000,0,0
2018,31,1441000,0,0
2018,32,392000,0,0
2018,33,83000,0,0
2018,34,441000,0,0
2018,35,178000,0,0
2018,36,2463000,0,0
2018,37,89000,0,0
2018,38,454000,0,0
2018,39,104000,0,0
2018,40,2684000,0,0
2018,41,807000,0,0
2018,42,806000,0,0
2018,44,102000,0,0
2018,45,1587000,0,0
2018,46,993000,0,0
2018,47,1731000,0,0
2018,48,94000,0,0
2018,49,417000,0,0
2018,50,1005000,0,0
2018,51,1429000,0,0
2018,53,692000,0,0
2018,54,1049000,0,0
2018,55,251000,0,0
2018,56,1777000,0,0
2019,1,680000,0,0
2019,2,105000,0,0
2019,4,902000,0,0
2019,5,468000,0,0
2019,6,5072000,0,0
2019,8,832000,0,0
2019,9,500000,0,0
2019,10,129000,0,0
2019,11,103000,0,0
2019,12,2769000,0,0
2019,13,1341000,0,0
2019,15,165000,0,0
2019,16,262000,0,0
2019,17,1526000,0,0
2019,18,988000,0,0
2019,19,418000,0,0
2019,20,387000,0,0
2019,21,737000,0,0
2019,22,599000,0,0
2019,23,187000,0,0
2019,24,758000,0,0
2019,25,1034000,0,0
2019,26,1320000,0,0
2019,27,759000,0,0
2019,28,385000,0,0
2019,29,828000,0,0
2019,30,164000,0,0
2019,31,258000,0,0
2019,32,404000,0,0
2019,33,204000,0,0
2019,34,1062000,0,0
2019,35,298000,0,0
2019,36,2692000,0,0
2019,37,1440000,0,0
2019,38,97000,0,0
2019,39,1741000,0,0
2019,40,545000,0,0
2019,41,714000,0,0
2019,42,1861000,0,0
2019,44,160000,0,0
2019,45,677000,0,0
2019,46,113000,0,0
2019,47,986000,0,0
2019,48,3196000,0,0
2019,49,464000,0,0
2019,50,104000,0,0
2019,51,1261000,0,0
2019,53,1139000,0,0
2019,54,300000,0,0
2019,55,817000,0,0
2019,56,85000,0,0
2020,1,794000,362015,7189
2020,2,108000,45771,281
2020,4,1030000,520559,8864
2020,5,457000,225138,3676
2020,6,5566000,2231552,25374
2020,8,924000,347279,4814
2020,9,526000,185708,5995
2020,10,149000,57512,1127
2020,11,125000,28983,786
2020,12,2889000,1317326,23306
2020,13,1405000,666452,10934
2020,15,185000,21026,286
2020,16,293000,141077,1436
2020,17,1754000,963389,17978
2020,18,1125000,511698,8236
2020,19,441000,280669,3891
2020,20,420000,222433,2741
2020,21,746000,275018,4861
2020,22,715000,315275,7488
2020,23,223000,25924,347
2020,24,781000,276662,6257
2020,25,1155000,375178,12613
2020,26,1469000,589728,13816
2020,27,819000,415302,5382
2020,28,431000,221928,5646
2020,29,993000,449569,6856
2020,30,163000,81555,961
2020,31,257000,167233,1651
2020,32,474000,224731,3125
2020,33,221000,44028,758
2020,34,1112000,527784,19042
2020,35,300000,142864,2385
2020,36,2802000,548154,12566
2020,37,1469000,547683,7925
2020,38,108000,92770,1309
2020,39,1906000,700380,8962
2020,40,592000,325524,4564
2020,41,731000,113909,1477
2020,42,1814000,648569,15978
2020,44,178000,85399,1778
2020,45,706000,317430,5306
2020,46,112000,99164,1488
2020,47,937000,576157,6810
2020,48,3347000,1756172,31282
2020,49,550000,276612,1269
2020,50,104000,6970,145
2020,51,1115000,354767,5081
2020,53,1269000,244803,3461
2020,54,337000,85334,1338
2020,55,859000,520438,5242
2020,56,88000,44409,438
2021,1,794000,904526,16747
2021,2,113000,151583,947
2021,4,1099000,1381488,24229
2021,5,460000,566486,9148
2021,6,5864000,5477529,75847
2021,8,1014000,955270,10271
2021,9,531000,510188,9160
2021,10,157000,178886,2400
2021,11,129000,94286,1211
2021,12,2903000,4249748,63184
2021,13,1406000,1839879,31443
2021,15,187000,109576,1079
2021,16,311000,319382,4162
2021,17,1858000,2181009,31017
2021,18,1129000,1246854,19037
2021,19,473000,582348,7858
2021,20,442000,519544,7001
2021,21,762000,880163,13063
2021,22,734000,828695,14986
2021,23,238000,154173,1531
2021,24,810000,720888,11875
2021,25,1157000,1140614,20273
2021,26,1571000,1710271,29019
2021,27,876000,1022212,10656
2021,28,446000,543737,10450
2021,29,1056000,1006913,16074
2021,30,171000,197724,2906
2021,31,290000,342939,3341
2021,32,512000,501181,8420
2021,33,243000,198667,1961
2021,34,1122000,1564253,29037
2021,35,338000,350043,5855
2021,36,2972000,1924606,23611
2021,37,1532000,1695105,19828
2021,38,116000,174626,2012
2021,39,2112000,2016095,29447
2021,40,657000,708938,11555
2021,41,783000,421263,5655
2021,42,1963000,2036424,36705
2021,44,187000,222729,3074
2021,45,760000,978154,14675
2021,46,118000,179204,2486
2021,47,1006000,1425369,20880
2021,48,3602000,4576799,74491
2021,49,599000,636992,3787
2021,50,112000,60788,453
2021,51,1199000,1133238,15601
2021,53,1360000,859170,9853
2021,54,347000,328162,5336
2021,55,904000,1120669,11173
2021,56,98000,115638,1526
2017,1,712000,0,0
2017,2,94000,0,0
2017,4,920000,0,0
2017,5,441000,0,0
2017,6,5241000,0,0
2017,8,710000,0,0
2017,9,454000,0,0
2017,10,136000,0,0
2017,11,102000,0,0
2017,12,2463000,0,0
2017,13,1365000,0,0
2017,15,178000,0,0
2017,16,244000,0,0
2017,17,1587000,0,0
2017,18,993000,0,0
2017,19,392000,0,0
2017,20,371000,0,0
2017,21,663000,0,0
2017,22,678000,0,0
2017,23,217000,0,0
2017,24,735000,0,0
2017,25,1056000,0,0
2017,26,1441000,0,0
2017,27,806000,0,0
2017,28,422000,0,0
2017,29,862000,0,0
2017,30,154000,0,0
2017,31,251000,0,0
2017,32,392000,0,0
2017,33,217000,0,0
2017,34,1106000,0,0
2017,35,309000,0,0
2017,36,2684000,0,0
2017,37,1429000,0,0
2017,38,89000,0,0
2017,39,1777000,0,0
2017,40,540000,0,0
2017,41,692000,0,0
2017,42,1731000,0,0
2017,44,178000,0,0
2017,45,636000,0,0
2017,46,104000,0,0
2017,47,1005000,0,0
2017,48,3229000,0,0
2017,49,417000,0,0
2017,50,102000,0,0
2017,51,1124000,0,0
2017,53,1049000,0,0
2017,54,305000,0,0
2017,55,807000,0,0
2017,56,83000,0,0
2018,1,217000,0,0
2018,2,1056000,0,0
2018,4,422000,0,0
2018,5,217000,0,0
2018,6,136000,0,0
2018,8,540000,0,0
2018,9,1365000,0,0
2018,10,154000,0,0
2018,11,371000,0,0
2018,12,710000,0,0
2018,13,178000,0,0
2018,15,712000,0,0
2018,16,3229000,0,0
2018,17,920000,0,0
2018,18,1124000,0,0
2018,19,102000,0,0
2018,20,244000,0,0
2018,21,305000,0,0
2018,22,862000,0,0
2018,23,309000,0,0
2018,24,5241000,0,0
2018,25,1106000,0,0
2018,26,735000,0,0
2018,27,392000,0,0
2018,28,663000,0,0
2018,29,678000,0,0
2018,30,636000,0,0
2018,31,1441000,0,0
2018,32,392000,0,0
2018,33,83000,0,0
2018,34,441000,0,0
2018,35,178000,0,0
2018,36,2463000,0,0
2018,37,89000,0,0
2018,38,454000,0,0
2018,39,104000,0,0
2018,40,2684000,0,0
2018,41,807000,0,0
2018,42,806000,0,0
2018,44,102000,0,0
2018,45,1587000,0,0
2018,46,993000,0,0
2018,47,1731000,0,0
2018,48,94000,0,0
2018,49,417000,0,0
2018,50,1005000,0,0
2018,51,1429000,0,0
2018,53,692000,0,0
2018,54,1049000,0,0
2018,55,251000,0,0
2018,56,1777000,0,0
2019,1,680000,0,0
2019,2,105000,0,0
2019,4,902000,0,0
2019,5,468000,0,0
2019,6,5072000,0,0
2019,8,832000,0,0
2019,9,500000,0,0
2019,10,129000,0,0
2019,11,103000,0,0
2019,12,2769000,0,0
2019,13,1341000,0,0
2019,15,165000,0,0
2019,16,262000,0,0
2019,17,1526000,0,0
2019,18,988000,0,0
2019,19,418000,0,0
2019,20,387000,0,0
2019,21,737000,0,0
2019,22,599000,0,0
2019,23,187000,0,0
2019,24,758000,0,0
2019,25,1034000,0,0
2019,26,1320000,0,0
2019,27,759000,0,0
2019,28,385000,0,0
2019,29,828000,0,0
2019,30,164000,0,0
2019,31,258000,0,0
2019,32,404000,0,0
2019,33,204000,0,0
2019,34,1062000,0,0
2019,35,298000,0,0
2019,36,2692000,0,0
2019,37,1440000,0,0
2019,38,97000,0,0
2019,39,1741000,0,0
2019,40,545000,0,0
2019,41,714000,0,0
2019,42,1861000,0,0
2019,44,160000,0,0
2019,45,677000,0,0
2019,46,113000,0,0
2019,47,986000,0,0
2019,48,3196000,0,0
2019,49,464000,0,0
2019,50,104000,0,0
2019,51,1261000,0,0
2019,53,1139000,0,0
2019,54,300000,0,0
2019,55,817000,0,0
2019,56,85000,0,0
2020,1,794000,362015,7189
2020,2,108000,45771,281
